[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:52:922 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:937 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:940 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:950 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:952 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:18 main.c/(5351:5351): Escribiendo pagina 7, pid 0
[TRACE] 01:45:53:20 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:23 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:41 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:53:44 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:53:52 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:55 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:117 main.c/(5351:5351): Escribiendo pagina 7, pid 0
[TRACE] 01:45:53:119 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:122 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:134 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:53:137 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:53:143 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:146 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:157 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:160 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:210 main.c/(5351:5351): Escribiendo pagina 8, pid 0
[TRACE] 01:45:53:212 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:215 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:230 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:233 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:242 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:245 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:318 main.c/(5351:5351): Escribiendo pagina 8, pid 0
[TRACE] 01:45:53:320 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:323 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:347 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:350 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:359 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:362 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:422 main.c/(5351:5351): Escribiendo pagina 8, pid 0
[TRACE] 01:45:53:423 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:427 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:446 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:449 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:462 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:465 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:515 main.c/(5351:5351): Escribiendo pagina 8, pid 0
